科威特航空422号班机劫机事件,1988年4月5日,,,,波音747-269B
法國航空296號班機空難,1988年6月26日,50,6,,空中客车A320-111
伊朗航空655號班機空難,1988年7月3日,0,15,,空中客车A300
中国西南航空4146号班机空难,1988年1月18日,10,,,
中國民航301號班機空難,1988年8月31日,14,11,,
埃塞俄比亞航空604號班機空難,1988年9月15日,35,6,69,波音737-200
达美航空1141号班机空难,1988年8月31日,76,7,,波音727
中國新疆航空9501號班機事故,1988年7月11日,11,,,
拉姆斯泰因航展事故,1988年8月28日,,,,
苏联民航3739号班机劫机事件,1988年3月8日,36,8,,
中美洲航空110號班機事故,1988年5月24日,7,7,,波音737-300
哥倫比亞航空410號班機空難,1988年3月17日,0,7,,波音727-21
洪都拉斯航空414號班機空難,1989年7月18日,15,8,,波音727-224
英倫航空92號班機空難,1989年1月8日,79,8,,波音737-4Y0
中華航空204號班機空難,1989年10月26日,0,7,,波音737-209
中國民航981號班機劫機事件,2013年10月28日,,23,,波音747-2J6BM
中國東方航空5510號班機空難,1989年8月15日,6,8,6,
安大略航空1363號班機空難,2014年2月11日,45,4,,
愛麗斯泉熱氣球相撞事故,2013年9月26日,,,,
東德航空102號班機空難,1989年6月17日,1,10,,
蘇里南航空764號班機空難,1989年6月7日,11,9,,
永興航空公司C404飛機事故,1989年6月27日,1,,,
荷蘭皇家航空867號班機事故,2015年1月20日,0,14,,波音747-406M
聯航快運2415號班機空難,1989年12月26日,0,2,,
聯合航空811號班機事故,1989年2月24日,18,,,波音747-122
飛虎航空66號班機空難,1989年2月19日,0,4,,波音747-249F
第二次錫德拉灣事件,1989年1月4日,,,,
大韩航空803号班机空难,2010年7月30日,70,18,,
古巴航空9646號班機空難,1989年9月3日,45,11,,
獨立航空1851號班機空難,1989年2月8日,0,7,,波音707-331B
科特賴克戰鬥機空難,1989年7月4日,0,1,,
奧林匹克航空545號班機空難,1989年8月3日,0,3,,
聯合航空232號班機空難,1989年7月19日,111,11,,
里約格朗德航空254號班機空難,1989年9月3日,6,,,波音737-241
哥倫比亞航空203號班機空難,1989年11月27日,6,,,波音727
柏納航空394號班機空難,1989年9月8日,0,5,,
法國聯合航空772號班機空難,2014年1月3日,0,15,,
意大利航空404号班机空难,2018年4月22日,6,,,
哥倫比亞航空052號班機空難,2011年8月31日,85,9,85,波音707-321B
印度人航空605號班機空難,1990年2月14日,54,7,,空客A320
1990年广州白云机场劫机相撞事件,1990年10月2日,,18,,波音757
英國航空5390號班機事故,1990年6月10日,2,6,,
美国大陆快运2574号班机空难,1991年9月11日,0,3,,
新加坡航空117号班机劫机事件,1991年3月26日,2,9,,
中華航空358號班機空難,2016年2月11日,0,5,,波音747-2R7F
尼日利亞航空2120號班機空難,2015年12月11日,0,14,,
北歐航空751號班機空難,1991年12月27日,92,7,,
勞達航空004號班機空難,1991年5月26日,223,10,,波音767
全美航空1493號班機空難,1991年2月1日,,6,,波音737-3B7
聯合航空585號班機空難,1991年3月3日,25,5,,波音737
