Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
Airbus A320-232,Airbus,OE-LOE,LaudaMotion,11-Jun-18,Active
Airbus A320-232,Airbus,D-AEUE,Eurowings,Due,Planned
Airbus A319-112,Airbus,VT-SCR,Air India,24-Jun-09,Active
Airbus A321-231,Airbus,N198UW,American Airlines,8-Jan-14,Active
Airbus A321-211,Airbus,B-6580,China Southern Airlines,30-Apr-09,Active
Airbus A321-211,Airbus,VH-VWV,Jetstar Airways,19-Jul-09,Active
Airbus A319-132,Airbus,B-6404,Capital Airlines,21-Oct-10,Active
Airbus A320-214,Airbus,HA-LPY,Wizz Air,26-May-09,Active
Airbus A320-233,Airbus,EI-DTK,Alitalia,19-Mar-10,Active
Airbus A320-232,Airbus,N399AV,Avianca,19-Oct-09,Active
Airbus A319-111,Airbus,VQ-BCQ,Rossiya - Russian Airlines,1-May-16,Active
Airbus A320-232,Airbus,G-EZTE,easyJet,12-May-09,Active
Airbus A320-232,Airbus,9K-CAJ,Jazeera Airways,23-May-09,Active
Airbus A320-214,Airbus,B-6617,China Eastern Airlines,4-Apr-10,Active
Airbus A320-232,Airbus,9K-CAK,Jazeera Airways,15-Mar-09,Active
Airbus A320-232,Airbus,HK-5223,VivaColombia,18-Mar-18,Active
Airbus A320-214,Airbus,B-6578,China Southern Airlines,30-Jun-09,Active
Airbus A321-211,Airbus,B-6592,China Eastern Airlines,4-Jan-11,Active
Airbus A320-232,Airbus,OE-IVP,easyJet Europe,26-Oct-17,Active
Airbus A321-211,Airbus,N535UW,American Airlines,4-Jul-13,Active
Airbus A320-214,Airbus,B-6583,China Southern Airlines,14-Mar-09,Active
Airbus A319-132,Airbus,PT-TMB,LATAM Airlines Brasil,3-Aug-16,Active
Airbus A320-232,Airbus,B-6571,Shenzhen Airlines,4-Dec-09,Active
Airbus A319-112,Airbus,VT-SCT,Air India,29-May-09,Active
Airbus A320-232,Airbus,A9C-AC,Gulf Air,27-Mar-10,Active
Airbus A319-111,Airbus,OE-LQT,easyJet Europe,14-Nov-17,Active
Airbus A321-211,Airbus,N539UW,American Airlines,29-Jul-13,Active
Airbus A319-133(CJ),Airbus,15+03,German Air Force,30-Mar-10,Active
Airbus A320-233,Airbus,VT-BLS,AirAsia India,17-Oct-14,Active
Airbus A319-111,Airbus,OE-LQK,easyJet Europe,22-Aug-17,Active
Airbus A320-232,Airbus,HZ-ASC,Saudi Arabian Airlines,3-Mar-10,Active
Airbus A320-232,Airbus,N402AV,Avianca,6-Apr-09,Active
Airbus A320-232,Airbus,N412AV,Avianca,25-Feb-09,Active
Airbus A320-232(WL),Airbus,CS-TNT,TAP - Air Portugal,8-Sep-09,Active
Airbus A321-231,Airbus,B-6597,Air China,6-Jan-10,Active
Airbus A321-211,Airbus,N538UW,American Airlines,30-Jan-14,Active
Airbus A320-232,Airbus,N452AV,Avianca,8-Apr-10,Active
Airbus A320-232,Airbus,VP-CYD,flynas,Jan 2016(10 Aug 2015),Active
Airbus A319-112,Airbus,B-6410,China Southern Airlines,20-Jan-10,Active
Airbus A320-232,Airbus,HZ-ASB,Saudi Arabian Airlines,24-Dec-09,Active
Airbus A321-231,Airbus,B-6606,Air China,28-May-09,Active
Airbus A321-231,Airbus,VT-PPP,Air India,16-Nov-09,Active
Airbus A320-232,Airbus,OE-IVY,easyJet Europe,13-Nov-17,Active
Airbus A321-231,Airbus,B-6596,Air China,8-Oct-09,Active
Airbus A320-232,Airbus,VQ-BET,S7 - Siberia Airlines,11-Oct-09,Active
Airbus A319-133(CJ),Airbus,TC-ISU,Turkey Government,Jan-16,Active
Airbus A319-112,Airbus,VT-SCV,Air India,13-Sep-09,Active
Airbus A321-231,Airbus,B-6598,Air China,12-Feb-10,Active
Airbus A320-232,Airbus,B-6613,Spring Airlines,14-Jan-10,Active
Airbus A321-211,Airbus,N540UW,American Airlines,27-Oct-13,Active
Airbus A320-232,Airbus,9K-CAQ,Jazeera Airways,14-Feb-18,Active
Airbus A320-214,Airbus,B-6584,China Southern Airlines,16-Apr-09,Active
Airbus A320-232,Airbus,OE-IZV,easyJet Europe,2-Feb-18,Active
Airbus A320-214,Airbus,B-HSP,Cathay Dragon,19-Dec-16,Active
Airbus A320-232,Airbus,OE-IZD,easyJet Europe,17-Feb-18,Active
Airbus A320-214,Airbus,B-6637,China Eastern Airlines,22-Jun-10,Active
Airbus A320-214,Airbus,VH-VNP,Tigerair Australia,20-Oct-13,Active
Airbus A320-232,Airbus,F-GKXV,Air France,19-Mar-10,Active
Airbus A321-211,Airbus,D-AISY,Lufthansa,17-Feb-10,Active
Airbus A320-232,Airbus,A9C-AE,Gulf Air,22-Apr-09,Active
Airbus A320-232,Airbus,B-6647,Spring Airlines,4-Sep-09,Active
Airbus A319-111,Airbus,5A-ONJ,Afriqiyah Airways,9-Jul-09,Stored
Airbus A320-232,Airbus,G-EZTN,easyJet,10-Nov-09,Active
Airbus A319-115(CJ),Airbus,RA-73026,Rossiya - Special Flight Detachment,13-May-12,Active
Airbus A320-232,Airbus,HB-JZS,easyJet Switzerland,3-Mar-10,Active
Airbus A321-211,Airbus,YI-AGT,Iraqi Airways,25-Jul-12,Active
Airbus A321-211,Airbus,D-AISX,Lufthansa,10-Apr-10,Active
Airbus A320-232,Airbus,B-6641,Juneyao Airlines,30-May-10,Active
Airbus A321-231,Airbus,VQ-BEE,Aeroflot - Russian Airlines,3-Jul-09,Active
Airbus A320-232,Airbus,F-GKXW,JOON,13-Feb-18,Active
Airbus A320-214,Airbus,SX-DGD,Aegean Airlines,27 Jul 2011( 7 Jun 2011),Active
Airbus A321-211,Airbus,D-AISU,Lufthansa,14-May-09,Active
Airbus A320-232,Airbus,N259NV,Allegiant Air,5-Jun-18,Active
Airbus A321-211,Airbus,N537UW,American Airlines,5-Mar-14,Active
Airbus A320-233,Airbus,PK-AXK,Indonesia AirAsia,28 Aug 2018(26 Aug 2009),Active
Airbus A321-211,Airbus,B-6593,China Eastern Airlines,8-Feb-10,Active
Airbus A320-232,Airbus,VP-CXL,flynas,12-Mar-14,Active
Airbus A320-214,Airbus,SX-DGE,Aegean Airlines,1 Sep 2011(17 Jul 2011),Active
Airbus A320-233,Airbus,EI-DTL,Alitalia,14-Aug-10,Active
Airbus A321-211,Airbus,D-AITA,Lufthansa,31-May-09,Active
Airbus A320-232(WL),Airbus,CS-TNU,TAP - Air Portugal,28-Jul-09,Active
Airbus A320-232,Airbus,HB-JYF,easyJet Switzerland,26-Jul-12,Active
Airbus A321-211,Airbus,D-AISV,Lufthansa,22-Jan-10,Active
Airbus A320-232,Airbus,N427AV,Avianca,12-Oct-09,Active
Airbus A319-132,Airbus,B-6408,Chongqing Airlines,26-Jan-19,Active
Airbus A320-232,Airbus,N447AV,Avianca,27-Feb-10,Active
Airbus A319-111,Airbus,OE-LKD,easyJet Europe,18-Jan-19,Active
Airbus A320-214,Airbus,A6-EIM,Etihad Airways,13-Apr-10,Active
Airbus A319-111,Airbus,OE-LQH,easyJet Europe,26-Dec-17,Active
Airbus A320-232,Airbus,N126UW,American Airlines,28-Feb-14,Active
Airbus A321-231,Airbus,VT-PPV,Air India,16-Sep-09,Stored
Airbus A318-112,Airbus,G-EUNB,British Airways,23-Sep-09,Active
Airbus A320-214,Airbus,B-6589,China Southern Airlines,5-Sep-09,Active
Airbus A320-214,Airbus,B-6636,China Eastern Airlines,23-Jul-09,Active
Airbus A320-214,Airbus,B-6602,China Eastern Airlines,12-Feb-10,Active
Airbus A321-211,Airbus,D-AISW,Lufthansa,22-Mar-09,Active
Airbus A320-232,Airbus,N260NV,Allegiant Air,2-Feb-19,Active
Airbus A321-211,Airbus,YI-AGS,Iraqi Airways,25-Jun-12,Stored
Airbus A320-214,Airbus,A6-EIN,Etihad Airways,28-Apr-10,Active
Airbus A319-111,Airbus,OE-LQV,easyJet Europe,30-Aug-17,Active
Airbus A320-232,Airbus,D-AIZB,Lufthansa,6-Oct-09,Active
Airbus A320-214,Airbus,VT-IGI,IndiGo,25-Nov-09,Active
Airbus A319-133,Airbus,B-6411,Sichuan Airlines,22-Jun-09,Active
Airbus A320-232,Airbus,B-6590,Shenzhen Airlines,13-Sep-09,Active
Airbus A319-112,Airbus,B-6409,China Southern Airlines,7-Mar-10,Active
Airbus A319-111,Airbus,OE-LKM,easyJet Europe,15-Sep-17,Active
Airbus A321-231,Airbus,VQ-BEB,Aeroflot - Russian Airlines,1-May-09,Active
Airbus A320-214,Airbus,B-6622,Sichuan Airlines,25-Feb-10,Active
Airbus A321-231,Airbus,VT-PPU,Air India,18-Nov-09,Active
Airbus A320-233,Airbus,HS-ABL,Thai AirAsia,28-Apr-09,Active
Airbus A320-233,Airbus,HS-BBT,Thai AirAsia,27-Jan-16,Active
Airbus A321-231,Airbus,VT-PPR,Air India,19-May-09,Active
Airbus A320-233,Airbus,HS-ABK,Thai AirAsia,10-Mar-09,Active
Airbus A319-112,Airbus,VT-SCU,Air India,21-Feb-10,Active
Airbus A318-112,Airbus,G-EUNC,Titan Airways,30-Apr-17,Active
Airbus A320-232,Airbus,VN-A670,VietJetAir,1-May-12,Active
Airbus A320-232,Airbus,A9C-AD,Gulf Air,6-Apr-10,Active
Airbus A319-111,Airbus,OE-LKP,easyJet Europe,5-Jan-18,Active
Airbus A320-232,Airbus,9M-AHW,AirAsia,13-Aug-09,Active
Airbus A319-112,Airbus,VT-SCW,Air India,17-May-09,Active
Airbus A321-231,Airbus,C-GEZE,Air Transat,9-Jan-18,Active
Airbus A320-232,Airbus,HC-CSG,Avianca Ecuador,Sep-17,Active
Airbus A320-214,Airbus,A7-AHB,Qatar Airways,28-Apr-10,Active
Airbus A320-232,Airbus,D-AIZC,Lufthansa,4-Apr-10,Active
Airbus A320-214,Airbus,A7-AHC,Qatar Airways,2-Dec-09,Active
Airbus A320-214,Airbus,B-6642,Chongqing Airlines,19-Aug-16,Active
Airbus A320-232,Airbus,VQ-BEU,S7 - Siberia Airlines,13-Jan-10,Active
Airbus A320-232,Airbus,VQ-BEK,Aeroflot - Russian Airlines,18-Aug-09,Active
Airbus A320-214(CJ) Prestige,Airbus,A7-MBL,Qatar Amiri Flight,20-Sep-09,Active
Airbus A321-231,Airbus,B-6632,Air China,19-Sep-09,Active
Airbus A320-232,Airbus,VN-A690,VietJetAir,5-Mar-13,Active
Airbus A320-232,Airbus,EC-MUN,Vueling,10-Dec-17,Active
Airbus A320-232,Airbus,OE-,LEVEL,Due,Planned
Airbus A320-214,Airbus,B-6638,China Eastern Airlines,18-Aug-10,Active
Airbus A319-112,Airbus,VT-SCX,Air India,17-Sep-09,Active
Airbus A321-231,Airbus,B-6604,Air China,9-Jan-10,Active
Airbus A319-112,Airbus,D-AIBB,Lufthansa,9-Jan-10,Active
Airbus A319-133(CJ),Airbus,M-KATF,Sophar,18-May-10,Active
Airbus A320-232,Airbus,D-AEUF,Eurowings,2-Dec-18,Stored
Airbus A319-132,Airbus,PT-TMD,LATAM Airlines Brasil,27-Dec-15,Active
Airbus A320-214,Airbus,B-LCI,Hong Kong Express,16-Dec-15,Active
Airbus A320-232,Airbus,D-AIZE,Lufthansa,9-Aug-10,Active
Airbus A320-232,Airbus,B-6619,Juneyao Airlines,20-Nov-09,Active
Airbus A321-211,Airbus,HL7790,Air Seoul,9-Sep-18,Active
Airbus A320-232,Airbus,N263NV,Allegiant Air,24-Mar-18,Active
Airbus A319-111,Airbus,G-EZFU,easyJet,17-Jun-10,Active
Airbus A321-211,Airbus,HL7791,Air Seoul,26-Aug-17,Active
Airbus A320-233,Airbus,EI-DTP,Alitalia,11-May-10,Active
Airbus A320-232,Airbus,9K-CAL,Jazeera Airways,8-Apr-10,Active
Airbus A320-232,Airbus,B-6621,Chongqing Airlines,3-Jan-18,Active
Airbus A319-112,Airbus,D-AIBC,Lufthansa,21-Dec-09,Active
Airbus A319-132,Airbus,PT-TME,LATAM Airlines Brasil,2-Apr-16,Active
Airbus A321-231,Airbus,C-GEZO,Air Transat,12-Feb-19,Stored
Airbus A320-214,Airbus,VT-IGJ,IndiGo,17-Feb-10,Active
Airbus A321-211,Airbus,N973UY,American Airlines,29 Feb 2016(28 Mar 2014),Active
Airbus A320-232,Airbus,VQ-BEI,Aeroflot - Russian Airlines,1-Nov-09,Active
Airbus A320-233,Airbus,EI-DTO,Alitalia,16-Apr-10,Active
Airbus A320-232,Airbus,D-AIZD,Lufthansa,8-May-10,Active
Airbus A319-132,Airbus,PT-TMC,LATAM Airlines Brasil,2-Jan-16,Active
Airbus A321-211,Airbus,A7-AIB,Qatar Airways,24-Nov-09,Active
Airbus A320-214,Airbus,A7-AHD,Qatar Airways,26-Jul-10,Active
Airbus A320-232,Airbus,VN-A700,VietJetAir,31-Oct-12,Active
Airbus A320-232,Airbus,N261NV,Allegiant Air,31-Mar-18,Active
Airbus A319-133(CJ),Airbus,A7-MEE,Qatar Amiri Flight,28-Jan-10,Active
Airbus A320-214,Airbus,A6-EIO,Etihad Airways,2-May-10,Active
Airbus A321-211,Airbus,N543UW,American Airlines,30-Nov-13,Active
Airbus A320-214,Airbus,B-6618,China Eastern Airlines,14-Sep-09,Active
Airbus A320-232,Airbus,B-6620,Juneyao Airlines,20-Apr-10,Active
Airbus A319-112,Airbus,VT-SCY,Air India,17-Sep-09,Active
Airbus A320-214,Airbus,HA-LQA,Wizz Air,2-Oct-09,Active
Airbus A321-211,Airbus,B-6626,China Southern Airlines,7-Apr-10,Active
Airbus A321-231,Airbus,B-6623,China Southern Airlines,19-Feb-10,Active
Airbus A320-232,Airbus,F-GKXZ,JOON,18-Nov-17,Active
Airbus A320-232,Airbus,N262NV,Allegiant Air,18-Nov-17,Active
Airbus A319-111,Airbus,OE-LQW,easyJet Europe,28-May-18,Active
Airbus A320-232,Airbus,HZ-AS17,Saudi Arabian Airlines,3-Mar-10,Stored
Airbus A320-232,Airbus,N264NV,Allegiant Air,Due,Planned
Airbus A320-232(WL),Airbus,CS-TNW,TAP - Air Portugal,12-Jun-09,Active
Airbus A321-231,Airbus,VT-PPX,Air India,12-Oct-09,Active
Airbus A320-214,Airbus,SX-DGC,Aegean Airlines,10-Jun-10,Active
Airbus A320-232,Airbus,TC-DCK,Pegasus,30-Oct-15,Active
Airbus A320-214,Airbus,G-EUYG,British Airways,18-Sep-09,Active
Airbus A320-233,Airbus,EI-EIB,Alitalia,2-Dec-10,Active
Airbus A320-232(WL),Airbus,CS-TNV,TAP - Air Portugal,10-Jun-09,Active
Airbus A321-231,Airbus,VQ-BEH,Aeroflot - Russian Airlines,18-Jun-09,Active
Airbus A320-233,Airbus,HS-ABM,Thai AirAsia,30-Apr-10,Active
Airbus A321-211,Airbus,VN-A364,Vietnam Airlines,28-Feb-10,Active
Airbus A320-232,Airbus,A9C-AF,Gulf Air,20-Oct-09,Active
Airbus A320-214,Airbus,VT-IGK,IndiGo,14-Dec-09,Active
Airbus A319-132,Airbus,D-AGWP,Eurowings,25-Feb-18,Active
Airbus A320-214,Airbus,B-6614,Shenzhen Airlines,18-Jul-09,Active
Airbus A320-214,Airbus,B-6672,China Eastern Airlines,6-May-10,Active
Airbus A320-232,Airbus,HB-JZZ,easyJet Switzerland,6-Sep-10,Active
Airbus A321-211,Airbus,N541UW,American Airlines,5-Apr-14,Active
Airbus A320-232(CJ) Prestige,Airbus,556,Royal Air Force of Oman (RAFO),8-Jun-10,Active
Airbus A319-112,Airbus,N779XF,American Airlines,24-Oct-18,Active
Airbus A320-232,Airbus,F-GKYA,Air France,4-Feb-10,Active
Airbus A320-233,Airbus,PK-AZL,Indonesia AirAsia,10 Dec 2017(12 Dec 2009),Active
Airbus A320-232,Airbus,HB-JZY,easyJet Switzerland,28-Jan-11,Active
Airbus A320-232,Airbus,N417AV,Avianca,10-Mar-10,Active
Airbus A320-214,Airbus,VH-VGZ,Jetstar Airways,25-Feb-10,Active
Airbus A320-232,Airbus,HB-JJO,Edelweiss Air,4-Feb-19,Stored
Airbus A320-214,Airbus,B-MBD,Air Macau,12-Feb-14,Active
Airbus A320-233,Airbus,EI-DTM,Alitalia,15-May-10,Active
Airbus A320-216,Airbus,9V-SLM,SilkAir,21-Aug-09,Active
Airbus A320-232,Airbus,XU-994,JC International Airlines,14-Mar-18,Active
Airbus A321-231,Airbus,VT-PPW,Air India,17-Nov-09,Active
Airbus A321-231,Airbus,C-GEZK,Air Transat,18-Oct-18,Active
Airbus A320-232,Airbus,A9C-AG,Gulf Air,15-Apr-10,Active
Airbus A320-232,Airbus,B-6646,Spring Airlines,15-Nov-09,Active
Airbus A320-214,Airbus,VH-VGU,Jetstar Airways,22-Mar-10,Active
Airbus A320-232,Airbus,A9C-AH,Gulf Air,24-Sep-09,Active
Airbus A321-211,Airbus,B-6643,China Eastern Airlines,14-Jan-10,Active
Airbus A320-214,Airbus,HA-LPZ,Wizz Air,27-May-09,Active
Airbus A320-233,Airbus,EI-DTN,Alitalia,18-Sep-10,Active
Airbus A319-111,Airbus,OE-LQX,easyJet Europe,10-Sep-17,Active
Airbus A320-232,Airbus,F-HEPB,Air France,14-May-10,Active
Airbus A320-232,Airbus,N127UW,American Airlines,25-Aug-13,Active
Airbus A320-232,Airbus,B-6649,Shenzhen Airlines,21-Mar-10,Active
Airbus A318-112(CJ) Elite,Airbus,LX-LTJ,Global Jet Luxembourg,24-Nov-16,Active
Airbus A320-232,Airbus,G-EZTS,easyJet,31-Jan-10,Active
Airbus A321-211,Airbus,B-6627,China Southern Airlines,8-Jul-10,Active
Airbus A320-232(CJ) Prestige,Airbus,9M-NAC,Royal Malaysian Air Force,Jul-15,Active
Airbus A319-115,Airbus,N423AV,Avianca,20-Feb-10,Active
Airbus A320-214,Airbus,9V-TAO,Scoot,23-Jan-18,Active
Airbus A320-214,Airbus,B-6673,China Eastern Airlines,1-Jun-10,Active
Airbus A321-211,Airbus,B-6631,China Southern Airlines,3-Aug-10,Active
Airbus A320-214,Airbus,B-6639,China Eastern Airlines,17-Aug-10,Active
Airbus A320-232,Airbus,HB-JYB,easyJet Switzerland,13-Aug-11,Active
Airbus A320-214,Airbus,B-6652,China Southern Airlines,5-Jun-10,Active
Airbus A320-214,Airbus,TF-SIT,WOW air,27 Feb 2015(26 Sep 2012),Stored
Airbus A321-231,Airbus,VT-PPY,Air India,17-Nov-09,Stored
Airbus A320-214,Airbus,B-6653,China Southern Airlines,1-Aug-10,Active
Airbus A320-232,Airbus,VT-EDD,Air India,20-Sep-09,Active
Airbus A318-112(CJ) Elite,Airbus,A6-CAT,Constellation Aviation Services,Nov-15,Active
Airbus A321-231,Airbus,B-6633,Air China,2-Jul-10,Active
Airbus A320-232,Airbus,B-8111,China West Air,2-Apr-15,Active
Airbus A320-232,Airbus,F-HEPC,Air France,15-Jun-10,Active
Airbus A321-232,Airbus,F-GTAZ,Air France,20-Oct-09,Active
Airbus A320-232,Airbus,D-AIZF,Lufthansa,16-Nov-09,Active
Airbus A321-211,Airbus,B-6659,China Southern Airlines,4-Jan-10,Active
Airbus A320-232,Airbus,N282AV,Avianca,29-Mar-10,Active
Airbus A320-232,Airbus,EC-MVP,Vueling,8-Nov-17,Active
Airbus A320-232,Airbus,OE-,LEVEL,Due,Planned
Airbus A320-232,Airbus,N128UW,American Airlines,8-Jul-13,Active
Airbus A320-232,Airbus,VT-EDE,Air India,13-Mar-10,Active
Airbus A319-115,Airbus,PR-AVC,Avianca Brasil,29-Jul-10,Active
Airbus A320-214,Airbus,B-6654,China Southern Airlines,17-May-10,Active
Airbus A320-232,Airbus,N129UW,American Airlines,25-May-13,Active
Airbus A320-214,Airbus,B-6640,China Eastern Airlines,4-Mar-10,Active
Airbus A319-133,Airbus,B-6413,China West Air,28-Sep-10,Active
Airbus A320-232,Airbus,N207FR,Frontier Airlines,16-May-10,Active
Airbus A319-132,Airbus,S5-AAQ,Adria Airways,23-Aug-10,Active
Airbus A321-211,Airbus,B-6660,China Southern Airlines,31-Aug-10,Active
Airbus A320-232,Airbus,5A-ONK,Afriqiyah Airways,4 Dec 2018( 7 Mar 2010),Active
Airbus A321-211,Airbus,VN-A366,Vietnam Airlines,10-Aug-10,Active
Airbus A320-214,Airbus,HA-LWB,Wizz Air,18-Apr-10,Active
Airbus A320-232,Airbus,HB-JAA,easyJet Switzerland,28-Apr-11,Active
Airbus A320-232,Airbus,OO-SNF,Brussels Airlines,12-Dec-15,Active
Airbus A320-232,Airbus,N206FR,Frontier Airlines,20-Apr-10,Active
Airbus A320-232,Airbus,9M-AHY,AirAsia,10-Sep-10,Active
Airbus A320-232,Airbus,HZ-AS33,Saudi Arabian Airlines,30-Nov-09,Stored
Airbus A321-231,Airbus,B-6634,Air China,23-May-10,Active
Airbus A320-232,Airbus,9M-AHZ,AirAsia,12-Nov-09,Active
Airbus A319-115,Airbus,A5-DOS,Bhutan Airlines,15-Dec-17,Active
Airbus A320-214,Airbus,B-6616,Shenzhen Airlines,15-Jul-10,Active
Airbus A321-211,Airbus,B-6630,China Southern Airlines,9-Mar-10,Active
Airbus A320-232,Airbus,OE-IJQ,easyJet Europe,23-Oct-17,Active
Airbus A320-232,Airbus,B-6668,Spring Airlines,17-Mar-10,Active
Airbus A319-115,Airbus,A5-RIN,Bhutan Airlines,25-Sep-18,Active
Airbus A320-214,Airbus,N603NK,Spirit Airlines,28-Jun-10,Active
Airbus A321-231,Airbus,B-6663,China Southern Airlines,2-Sep-10,Active
Airbus A320-232,Airbus,N285AV,Avianca,13-Aug-10,Active
Airbus A320-232,Airbus,VT-IHQ,IndiGo,Nov-17,Active
Airbus A320-232,Airbus,B-6624,China Southern Airlines,24-Aug-10,Active
Airbus A319-133,Airbus,9V-SBH,SilkAir,25-Apr-10,Active
Airbus A320-214,Airbus,B-6628,China Southern Airlines,30-Sep-09,Active
Airbus A320-232,Airbus,XA-DOT,Interjet,2-Sep-11,Active
Airbus A320-214,Airbus,VH-VGV,Jetstar Airways,25-Apr-10,Active
Airbus A320-232,Airbus,A9C-AJ,Gulf Air,30-Nov-10,Active
Airbus A320-214,Airbus,G-EUYI,British Airways,28-Feb-10,Active
Airbus A319-112,Airbus,OO-SSS,Brussels Airlines,3-Jun-11,Active
Airbus A319-132,Airbus,OE-LYY,Eurowings Europe,1-Mar-18,Active
Airbus A320-232,Airbus,F-HEPE,Air France,8-Aug-10,Active
Airbus A320-214,Airbus,N602NK,Spirit Airlines,2-Dec-09,Active
Airbus A320-214,Airbus,VT-IGL,IndiGo,17-Sep-09,Active
Airbus A320-232,Airbus,B-6648,Shenzhen Airlines,23-Apr-10,Active
Airbus A320-232,Airbus,VT-EDF,Air India,28-Sep-10,Active
Airbus A320-214,Airbus,HA-LWC,Wizz Air,15-Feb-10,Active
Airbus A319-132,Airbus,OE-LYZ,Eurowings Europe,18-Jul-17,Active
Airbus A321-211,Airbus,B-6658,China Southern Airlines,4-Oct-10,Active
Airbus A320-232,Airbus,B-6671,Juneyao Airlines,22-Sep-10,Active
Airbus A320-232,Airbus,OE-IVI,easyJet Europe,25-Jun-18,Active
Airbus A320-214,Airbus,OD-MRP,MEA - Middle East Airlines,8 Aug 2013(12 Aug 2010),Active
Airbus A320-232,Airbus,TC-FBI,Bamboo Airways,9-Dec-18,Active
Airbus A321-211,Airbus,B-6629,China Southern Airlines,4-Mar-10,Active
Airbus A319-132,Airbus,OE-LZA,Eurowings Europe,11-May-17,Active
Airbus A320-232,Airbus,VT-EDG,Air India,17-Sep-09,Active
Airbus A320-214,Airbus,B-HSQ,Cathay Dragon,8-Jan-17,Active
Airbus A320-214,Airbus,VH-VGS,Jetstar Airways,9-Apr-10,Active
Airbus A320-232,Airbus,F-HEPD,JOON,27-Feb-18,Active
Airbus A321-211,Airbus,VN-A367,Vietnam Airlines,19-Dec-09,Active
Airbus A319-115,Airbus,PR-AVD,Avianca Brasil,29-Nov-09,Active
Airbus A320-214,Airbus,B-6696,China Eastern Airlines,25-Aug-10,Active
Airbus A320-232,Airbus,B-6650,Shenzhen Airlines,14-May-10,Active
Airbus A320-232,Airbus,A9C-AI,Gulf Air,28-Dec-09,Active
Airbus A319-115(CJ),Airbus,VP-CIB,CEFC China,24-Dec-15,Active
Airbus A320-214,Airbus,G-EUYH,British Airways,9-Oct-09,Active
Airbus A320-214,Airbus,B-6679,China Southern Airlines,20-Mar-10,Active
Airbus A319-112,Airbus,OK-PEU,Czech Airlines (CSA),28 Mar 2017(26 Feb 2010),Stored
Airbus A319-112,Airbus,D-ASTG,Germania,12-Sep-17,Stored
Airbus A320-233,Airbus,HS-ABN,Thai AirAsia,11-Apr-10,Active
Airbus A320-214,Airbus,B-6698,Sichuan Airlines,4-Jul-10,Active
Airbus A320-232,Airbus,F-HEPF,Air France,14-Jan-10,Active
Airbus A321-211,Airbus,B-6644,China Eastern Airlines,28-Oct-10,Active
Airbus A320-232,Airbus,G-EZTU,easyJet,9-Dec-09,Active
Airbus A320-214,Airbus,VH-VGW,Jetstar Airways,30-Aug-10,Active
Airbus A320-214,Airbus,B-6694,China Eastern Airlines,7-Mar-10,Active
Airbus A320-233,Airbus,EI-EIC,Alitalia,28-Apr-10,Active
Airbus A319-133,Airbus,9V-SBI,SilkAir,5-Oct-09,Active
Airbus A320-232,Airbus,OE-LOF,LaudaMotion,18-May-18,Stored
Airbus A320-214,Airbus,B-6681,China Southern Airlines,12-Mar-10,Active
Airbus A320-232,Airbus,D-AIZG,Lufthansa,26-Jul-10,Active
Airbus A321-211,Airbus,B-6661,China Southern Airlines,1-Sep-10,Active
Airbus A320-214,Airbus,B-6651,Shenzhen Airlines,4-Oct-10,Active
Airbus A320-232,Airbus,SU-BQN,Nile Air,20-Dec-15,Active
Airbus A320-232,Airbus,SU-BTN,Air Cairo,28-Jul-17,Active
Airbus A320-232,Airbus,5A-ONL,Afriqiyah Airways,15-Mar-10,Stored
Airbus A320-214,Airbus,B-6674,China Eastern Airlines,11-Apr-10,Active
Airbus A320-214,Airbus,B-6656,China Southern Airlines,23-Feb-10,Active
Airbus A321-211,Airbus,D-AIDB,Lufthansa,15-Jan-10,Active
Airbus A320-214,Airbus,B-6680,China Southern Airlines,14-Aug-10,Active
Airbus A319-111,Airbus,G-EZFX,easyJet,15-Nov-10,Active
Airbus A320-233,Airbus,HS-ABS,Thai AirAsia,8-Sep-10,Active
Airbus A319-132,Airbus,S5-AAS,Adria Airways,1-Nov-09,Active
Airbus A321-211,Airbus,VN-A323,Vietnam Airlines,5-Jul-10,Active
Airbus A320-214,Airbus,N604NK,Spirit Airlines,21-Sep-10,Active
Airbus A320-232,Airbus,B-6706,Spring Airlines,14-Sep-10,Active
Airbus A321-211,Airbus,B-6662,China Southern Airlines,14-Oct-10,Active
Airbus A320-214,Airbus,HA-LWE,Wizz Air,29-Nov-10,Active
Airbus A320-233,Airbus,9M-AIA,AirAsia,28-Feb-10,Active
Airbus A320-232,Airbus,UK32012,Uzbekistan Airways,31-Dec-10,Active
Airbus A320-232,Airbus,N482AV,Avianca,17-Jul-10,Active
Airbus A320-232,Airbus,HZ-AS36,Saudi Arabian Airlines,23-Aug-10,Active
Airbus A320-233,Airbus,HS-ABO,Thai AirAsia,9-Sep-10,Active
Airbus A320-214,Airbus,VT-IGM,IndiGo,24-Mar-10,Active
Airbus A320-232,Airbus,B-6657,China Southern Airlines,21-Aug-10,Active
Airbus A319-112,Airbus,D-AIBD,Lufthansa,8-Jul-10,Active
Airbus A320-214,Airbus,B-6714,China Eastern Airlines,18-Jul-10,Active
Airbus A321-211,Airbus,PT-MXG,LATAM Airlines Brasil,27-Nov-15,Active
Airbus A320-232,Airbus,B-6703,China Southern Airlines,7-May-11,Active
Airbus A320-214,Airbus,HA-LWF,Wizz Air,17-Jan-10,Active
Airbus A321-211,Airbus,A7-AIC,Qatar Airways,20-Feb-10,Written Off
