Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N597SC,GECAS,20-Mar-12,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EC-JJS,Swiftair,24-Jun-05,Written Off
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,ZS-TRL,1Time,4-Nov-09,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-CLP,Unknown,29-Jul-13,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,HI-990,PAWA Dominicana,27-Oct-15,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-SEB,Sahand Airlines,18-Jul-16,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N530AW,Ansett Worldwide (AWAS),8-Aug-08,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N893GA,Allegiant Air,20-Jun-07,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-ZAB,Zagros Air,Nov 2011(18 May 2010),Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N967CE,Everts Air,10-Aug-18,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N802WA,World Atlantic Airlines,6-Aug-09,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,ZS-OPX,1Time,Jul-06,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,I-SMEN,Meridiana,15 Feb 2013(27 Jan 1999),Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,PJ-MDF,Insel Air,19-Mar-13,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,LV-WGN,Andes Líneas Aéreas,24-Nov-15,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,P4-MDG,InselAir Aruba,10-Apr-14,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N808WA,World Atlantic Airlines,2-Sep-16,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N836NK,Falcon Air Express,29-Jan-09,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,OY-RUE,Danish Air Transport (DAT),24-Jan-10,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,5N-SAI,Dana Air,12-Jun-08,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,5N-RAM,Dana Air,17-Feb-09,Written Off
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,S2-AEH,United Airways,12-Jan-10,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-CPV,Caspian Airlines,Jul 2012(Mar 2010),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,RP-C7702,Air Manila,28-Jul-09,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,VP-BGI,Aero Republica,Jan-04,Written Off
